SIM_RUN,LR,WLR,Heincke,CR,CRCB,PM,type
U1,0.467,0.494,0.505,0.514,0.513,0.515,estimate
U2,0.461,0.497,0.564,0.524,0.523,0.525,estimate
U3,0.470,0.486,0.495,0.489,0.489,0.491,estimate
U4,0.440,0.503,0.479,0.486,0.486,0.487,estimate
U5,0.438,0.473,0.487,0.477,0.476,0.478,estimate
U6,0.376,0.459,0.511,0.471,0.471,0.472,estimate
U7,0.445,0.480,0.467,0.487,0.487,0.488,estimate
U8,0.452,0.497,0.515,0.506,0.506,0.507,estimate
U9,0.437,0.525,0.517,0.512,0.512,0.513,estimate
U10,0.493,0.522,0.462,0.504,0.503,0.505,estimate
U11,0.451,0.520,0.504,0.516,0.516,0.517,estimate
U12,0.478,0.486,0.489,0.483,0.483,0.400,estimate
U13,0.487,0.496,0.491,0.501,0.500,0.502,estimate
U14,0.463,0.510,0.508,0.526,0.526,0.527,estimate
U15,0.464,0.529,0.527,0.518,0.518,0.519,estimate
U16,0.471,0.490,0.442,0.483,0.482,0.484,estimate
U17,0.471,0.514,0.539,0.515,0.514,0.516,estimate
U18,0.415,0.489,0.543,0.498,0.497,0.499,estimate
U19,0.415,0.468,0.554,0.498,0.497,0.499,estimate
U20,0.498,0.481,0.500,0.500,0.500,0.501,estimate
U1,0.014,0.011,0.026,0.027,0.016,0.027,standard_error
U2,0.027,0.034,0.029,0.027,0.024,0.027,standard_error
U3,0.032,0.025,0.026,0.026,0.018,0.026,standard_error
U4,0.030,0.014,0.025,0.025,0.014,0.025,standard_error
U5,0.017,0.015,0.025,0.024,0.013,0.024,standard_error
U6,0.029,0.017,0.026,0.024,0.022,0.024,standard_error
U7,0.020,0.013,0.025,0.026,0.013,0.026,standard_error
U8,0.023,0.017,0.027,0.026,0.014,0.026,standard_error
U9,0.039,0.034,0.026,0.026,0.029,0.026,standard_error
U10,0.035,0.026,0.025,0.027,0.021,0.027,standard_error
U11,0.032,0.030,0.026,0.026,0.022,0.027,standard_error
U12,0.016,0.014,0.026,0.025,0.011,0.025,standard_error
U13,0.022,0.018,0.025,0.026,0.012,0.026,standard_error
U14,0.026,0.025,0.026,0.027,0.020,0.027,standard_error
U15,0.035,0.020,0.027,0.027,0.023,0.027,standard_error
U16,0.031,0.024,0.024,0.026,0.020,0.026,standard_error
U17,0.035,0.032,0.027,0.026,0.018,0.026,standard_error
U18,0.036,0.028,0.028,0.026,0.024,0.026,standard_error
U19,0.029,0.026,0.029,0.026,0.025,0.026,standard_error
U20,0.025,0.022,0.026,0.026,0.017,0.026,standard_error